n,n commande,date creation,date expedition,dernier statut,date dernier statut,date livraison/echec,prenom,nom,Gender,telephone,adresse,commune,wilaya,designation,prix,type,Brandt,frais livraison,freeshipping,paiement,id importation,type colis,premiere tentative,date premiere tentative,deuxieme tentative,date deuxieme tentative,troisieme tentative,date troisieme tentative
75,1149,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-13,2022-03-08,,Haslett,F,2183444768,Taref Zrizer,Zerizer,El Tarf,Lenovo Lenovo Thinkpad T480 - 14.0'' Hd - Core I5 8250U - 8 Gb - 256 Gb Ssd - Intel 620 - Garantie 3 Ans,270000,pc,Lenovo,900,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-06,Tentative echouee (Client absent (reporte)),2022-03-07,Echec livraison (Client ne repond pas),2022-03-08
76,#1196,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-09,2022-03-06,,,F,9792038210,saida ville,Saida,Saida,"Canon Imprimante Multi-Fonction Jet D'Encre - Pixma Ts5051 - 4800X1200 Ppp - 12,6 Ppm - Usb - Wifi - Blanc",17000,imprimantes,Canon,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-05,Echec livraison (Annule par le client),2022-03-06,,
77,1148,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-10,2022-03-07,,,F,1024737183,centre ville,Dar El Beida,Alger,Kyocera Imprimante - Laser - Economique - Kyocera Fs-1040 - Blanc,14700,imprimantes,Kyocera,750,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-05,Tentative echouee (Telephone injoignable),2022-03-06,Echec livraison (Telephone injoignable),2022-03-07
78,1147,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-21,2022-03-10,,Milissent,H,9197423256,centre ville,Aoulef,Adrar,Imprimante Ticket Code Barre Mobile Usb - SPRT SP-L31 Noir,34900,imprimantes,Imprimante,1400,oui,paye,0,ecommerce,Echec livraison (Le client n\'a pas commande),2022-03-10,,,,
79,#1194,2022-03-03,2022-03-03,Livre,2022-03-05,2022-03-05,,Gael,H,1004877455,cherchel centre,Cherchell,Tipaza,Kyocera Imprimante Multifonction Laser Monochrome - Ecosys M2135DN - 35 ppm - 600 X 400 Dpi - Usb - Blanc,35000,imprimantes,Kyocera,900,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
80,1146,2022-03-03,2022-03-03,Livre,2022-03-08,2022-03-08,,Margette,H,5262815279,centre ville,Bayadha,El Oued,"Lenovo Ideapad 110 15.6""- Intel Celeron N3060 - 500 Go - 2 Go - Noir - Freedos - Garantie 1 An",44900,pc,Lenovo,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Livre,2022-03-08,,
81,1144,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-10,2022-03-06,,,H,9111066564,centre ville,El Kseur,Bejaia,Asus Vivobook X540N - Celeron N3350 - 4Go - 500Go - 15’ HD -Wifi - Endless - Gris - Garantie 1An,42700,pc,Asus,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-06,,,,
82,#1190,2022-03-03,2022-03-03,Livre,2022-03-06,2022-03-06,,Patrizia,H,4094259578,khenchela ville,Khenchela,Khenchela,"Asus VivoBook X540M 15.6"" - Celeron N4000 - 4 Go - 1 To - Win 10 - Noir - Garantie 1 An",49900,pc,Asus,900,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
83,1142,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-13,2022-03-08,,Annabel,H,9248578135,ainmlila oum el bouaghi ,Ain M'lila,Oum El Bouaghi,"Lenovo Laptop Gaming Legion Y530 15,6"" - I7-8750HQ - 16 Go - 2 To + 256 SSD - Noir - Garantie 1 An",250000,pc,Lenovo,900,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-06,Tentative echouee (Client no-show),2022-03-07,Echec livraison (Client ne repond pas),2022-03-08
84,#1188,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-15,2022-03-09,,Annamarie,H,8961923692,ain oussara,Ain Oussara,Djelfa,"Monueal Ordinateur De Bureau 19"" - Pc Composee - Core2 Duo E6300 - 2G - 160G - Noir - Garantie 1 An",27000,pc,Monueal,1050,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-07,Tentative echouee (Telephone injoignable),2022-03-08,Echec livraison (Telephone injoignable),2022-03-09
85,2022-03-02,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-10,2022-03-06,,Marna,H,,Tamalous,Tamalous,Skikda,Lenovo Lenovo Thinkpad T480 - 14.0'' Hd - Core I5 8250U - 8 Gb - 256 Gb Ssd - Intel 620 - Garantie 3 Ans,270000,pc,Lenovo,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-06,,,,
86,#1186,2022-03-03,2022-03-03,Retour groupe,2022-05-12,2022-04-26,,Theobald,F,,bordj badji mokhtar,Bordj Badji Mokhtar,Adrar,"Graphic Rouleaux de papier graphique en papier blanc jet encre et copieur PPC, calque et photo.",1199,imprimantes,Graphic,1400,oui,pas pret,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-04-15,Echec livraison (Wilaya erronee),2022-04-26,,
87,1136,2022-03-03,2022-03-03,Livre,2022-03-06,2022-03-06,,Jeno,F,,centre ville,Bir El Arch,Setif,Epson Epson L805 - Its Mono - + Kit Dvd 6 Color - Noir - Garantie 1 An,64900,imprimantes,Epson,900,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
88,1135,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-08,2022-03-05,,,F,6362990431,centre ville,Tenes,Chlef,Sunlux Lecteur Code A Barre - Sans Fil - XL-9528 - Jaune,34900,imprimantes,Sunlux,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-05,,,,
89,1134,2022-03-03,2022-03-03,Livre,2022-03-07,2022-03-07,,Iosep,H,4519793665,logement 1850 maison numero 50,Hassi Messaoud,Ouargla,XPrinter Imprimante de ticket 80Mm -D600 Usb+Rs232 - Noir,23900,imprimantes,XPrinter,1050,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
90,#1181,2022-03-03,2022-03-03,Livre,2022-03-11,2022-03-11,,Roseline,H,2452082308,tamanrasset ville,Tamanrasset,Tamanrasset,Hp Multifonction Hp Laser Mfp M130A - Blanc,28000,imprimantes,Hp,1600,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-09,Tentative echouee (Client absent (reporte)),2022-03-10,Livre,2022-03-11
91,#1189,2022-03-03,2022-03-03,Livre,2022-03-06,2022-03-06,,,H,5954334121,Tadjenanet,Tadjenanet,Mila,Sharp Photocopieur Multifonction de Bureau Sharp MX-B200(Copy-Scan-Print),40950,imprimantes,Sharp,900,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
92,1125,2022-03-03,2022-03-03,Livre,2022-03-09,2022-03-09,,Moss,H,3483379723,Escadro bechar,Bechar,Bechar,XPrinter Imprimante Code Barre - XP-H500B - Noir,40500,imprimantes,XPrinter,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-08,Livre,2022-03-09,,
93,1124,2022-03-03,2022-03-03,Livre,2022-03-06,2022-03-06,,Jayme,H,4193016316,centre ville,Taher,Jijel,XPrinter Imprimante Thermique 80Mm - N260H Usb+Rs232+Lan,25900,imprimantes,XPrinter,900,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
94,1123,2022-03-03,2022-03-03,Livre,2022-03-09,2022-03-09,,Haily,H,1712276484,centre ville,Tamanrasset,Tamanrasset,XPrinter Imprimante Ticket Thermique - Q-800 - Noir,20900,imprimantes,XPrinter,1600,oui,paye,0,ecommerce,Livre,2022-03-09,,,,
95,1121,2022-03-03,2022-03-03,Livre,2022-03-08,2022-03-08,,Staci,H,1142136642,centre ville,El Oued,El Oued,"Telestar LED TV 32"" HD DVB-T2 DOLBY + Support Mural - Noir - Garantie 2 Ans",23300,tv,Telestar,1050,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-07,Livre,2022-03-08,,
96,1120,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-13,2022-03-06,,,H,1119397958,centre ville,Batna,Batna,LG TV UHD 65 pouce UM7450 Series TV LED Smart IPS 4K Ecran 4K HDR avec ThinQ AI,189900,tv,LG,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-06,,,,
97,1119,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-10,2022-03-07,,Cass,H,1019828002,centre ville,Ain Kermes,Tiaret,LG TV NanoCell 65 pouce SM8200 Series TV LED Smart NanoCell Ecran 4K HDR avec ThinQ AI,209900,tv,LG,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-05,Tentative echouee (Telephone injoignable),2022-03-06,Echec livraison (Client ne repond pas),2022-03-07
98,1118,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-09,2022-03-06,,,H,6484081985,centre ville,Tiaret,Tiaret,"Brandt Televiseur Smart - Led 65"" Uhd - Baf65U9Sa - Noir",137200,tv,Brandt,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-05,Echec livraison (Annule par le client),2022-03-06,,
99,1116,2022-03-03,2022-03-03,Livre,2022-03-06,2022-03-06,,,H,6723707912,centre ville,El Eulma,Setif,"Telestar Led Tv 43"" Fhd + Demo Integre+ Support Mural - Noir - Garantie 2 Ans",39900,tv,Telestar,900,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
100,1112,2022-03-03,2022-03-03,Livre,2022-03-07,2022-03-07,,Mariette,H,5991768597,centre ville,Sidi Okba,Biskra,"Brandt Televiseur Led 50"" Full Hd - Baf50F9T - Noir.",56900,tv,Brandt,1050,oui,paye,0,ecommerce,Tentative echouee (Client no-show),2022-03-06,Livre,2022-03-07,,
101,984,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-08,2022-03-05,,Marcellina,H,,bordj el kiffane,Bordj El Kiffan,Alger,Hp Imprimantes HP LaserJet Pro M12w - Blanc,21900,imprimantes,Hp,750,oui,paye,0,ecommerce,Echec livraison (Client absent (echoue)),2022-03-05,,,,
102,1003,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-12,2022-03-08,,Casar,H,3686291121,centre ville,Azazga,Tizi Ouzou,Canon Imprimante Laser 635 Multifonction Couleur Fax - I-Sensys Mf635Cx - Blanc,69500,imprimantes,Canon,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-06,Tentative echouee (Client no-show),2022-03-07,Echec livraison (Telephone injoignable),2022-03-08
103,1045,2022-03-03,2022-03-10,Livre,2022-03-13,2022-03-13,,,H,7115767187,cite salam,Oran,Oran,Sharp Photocopieur Numerique Multifonction - Ar-5620N - Gris,131250,imprimantes,Sharp,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-12,Livre,2022-03-13,,
104,1060,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-10,2022-03-07,,Caitrin,H,5867649800,Ain Youcef Tlemcen,Ain Youcef,Tlemcen,XPrinter Imprimante De Ticket Thermique 80mm Q200 USB/LAN - Noir,22900,imprimantes,XPrinter,750,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-05,Tentative echouee (Telephone injoignable),2022-03-06,Echec livraison (Client ne repond pas),2022-03-07
105,1078,2022-03-03,2022-03-03,Livre,2022-03-05,2022-03-05,,,H,6018896379, la cote ,Birkhadem,Alger,"Lenovo Ideapad 110 15.6""- Intel Celeron N3060 - 500 Go - 2 Go - Noir - Freedos - Garantie 1 An",44900,pc,Lenovo,750,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
106,1081,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-07,2022-03-06,,Cissiee,H,,centre ville,Sidi Chaib,Sidi Bel Abbes,Asus Vivobook X540N - Celeron N3350 - 4Go - 500Go - 15’ HD -Wifi - Endless - Gris - Garantie 1An,42700,pc,Asus,500,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-05,Echec livraison (Client absent (echoue)),2022-03-06,,
107,1085,2022-03-03,2022-03-03,Livre,2022-03-07,2022-03-07,,Sashenka,H,2082483918,Bisra Zeribet El Oued,Zeribet El Oued,Biskra,"Asus VivoBook X540M 15.6"" - Celeron N4000 - 4 Go - 1 To - Win 10 - Noir - Garantie 1 An",49900,pc,Asus,1050,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
108,1100,2022-03-03,2022-03-03,Livre,2022-03-07,2022-03-07,,Delcine,H,5493464765,centre ville,Constantine,Constantine,"Lenovo Laptop Gaming Legion Y530 15,6"" - I7-8750HQ - 16 Go - 2 To + 256 SSD - Noir - Garantie 1 An",250000,pc,Lenovo,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-06,Livre,2022-03-07,,
109,#1130,2022-03-03,2022-03-03,Livre,2022-03-06,2022-03-06,,Julieta,H,4358818979,centre ville,Ghardaia,Ghardaia,"Monueal Ordinateur De Bureau 19"" - Pc Composee - Core2 Duo E6300 - 2G - 160G - Noir - Garantie 1 An",27000,pc,Monueal,1050,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
110,1155,2022-03-03,2022-03-03,Livre,2022-03-10,2022-03-10,,Chrotoem,H,9591588069,centre ville,Tamanrasset,Tamanrasset,Lenovo Lenovo Thinkpad T480 - 14.0'' Hd - Core I5 8250U - 8 Gb - 256 Gb Ssd - Intel 620 - Garantie 3 Ans,270000,pc,Lenovo,1600,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-09,Livre,2022-03-10,,
111,1160,2022-03-03,2022-03-03,Livre,2022-03-06,2022-03-06,,,H,3129347080,centre ville,Tamalous,Skikda,Epson Epson L805 - Its Mono - + Kit Dvd 6 Color - Noir - Garantie 1 An,64900,imprimantes,Epson,900,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
112,1161,2022-03-03,2022-03-03,Livre,2022-03-05,2022-03-05,,Benedict,F,8659784718,centre ville,Fouka,Tipaza,Epson Imprimante matricielle LQ-2090 - 360 x 180 DPI - USB - Blanc,85500,imprimantes,Epson,900,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
113,#1201,2022-03-03,2022-03-03,Livre,2022-03-06,2022-03-06,,Aloise,F,,centre ville,El Bayadh,El Bayadh,XPrinter Imprimante Code Barre 108mm DT425B - Blanc USB,23900,imprimantes,XPrinter,1050,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
114,#1266,2022-03-05,2022-03-05,Livre,2022-03-07,2022-03-07,,Annelise,F,6035166616,,Tebessa,Tebessa,Sunlux Lecteur Code A Barre - Sans Fil - XL-9528 - Jaune,34900,imprimantes,Sunlux,1050,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
115,#1263,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-15,2022-03-09,,,F,5294153867,,Taher,Jijel,Kyocera Photocopieur Kyocera A3 / A4 Laser - Gris Fonce - Garantie 1 an,63800,imprimantes,Kyocera,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-07,Tentative echouee (Client absent (reporte)),2022-03-08,Echec livraison (Client absent (reporte)),2022-03-09
116,#1258,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-14,2022-03-10,,Nadia,F,8735906205,,Birtouta,Alger,Kyocera Imprimante 2135 Multifonction Laser Recto Verso - Ecosys M2135Dn - Usb & Reseau - Blanc,34600,imprimantes,Kyocera,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-06,Tentative echouee (Client absent (reporte)),2022-03-07,Echec livraison (Client ne repond pas),2022-03-10
117,#1257,2022-03-05,2022-03-05,Livre,2022-03-07,2022-03-07,,Christos,F,9931160744,,El Eulma,Setif,Epson Imprimante matricielle LQ-2090 - 360 x 180 DPI - USB - Blanc- Garantie 1 An,85400,imprimantes,Epson,900,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
118,cmnd/Z,2022-03-05,2022-03-05,Livre,2022-03-19,2022-03-19,,,H,7683189124,,Tamanrasset,Tamanrasset,Hp Imprimante Laser - Jet Multi Fonctions - M436NDA - Blanc,152000,imprimantes,Hp,1600,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-12,Tentative echouee (Client ne repond pas),2022-03-13,Echec livraison (Client absent (reporte)),2022-03-14
119,cmnd/Z,2022-03-05,2022-03-05,Livre,2022-03-06,2022-03-06,,Margy,H,8859184612,,Sebdou,Tlemcen,Canon Imprimante 237 Laser Multifonction Wifi + Fax - I-Sensys Mf237W - Noir,54500,imprimantes,Canon,750,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
120,#1256,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-15,2022-03-09,,Morse,H,5575441246,,Bejaia,Bejaia,Tysso Imprimante Code À Barre – Blp 410 - Noir,45500,imprimantes,Tysso,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Tentative echouee (Telephone injoignable),2022-03-08,Echec livraison (Telephone injoignable),2022-03-09
121,#1255,2022-03-05,2022-03-05,Livre,2022-03-06,2022-03-06,,Vonni,H,7005736187,,Birkhadem,Alger,XPrinter Imprimante Thermique 80Mm - N260H Usb+Rs232+Lan,25900,imprimantes,XPrinter,750,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
122,#1253,2022-03-05,2022-03-05,Livre,2022-03-10,2022-03-10,,Alli,H,6604517268,,Tebessa,Tebessa,"Telestar LED TV 43"" FHD DVB-T2 DOLBY + Support Mural - Noir - Garantie 2 Ans",39500,tv,Telestar,1050,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-07,Tentative echouee (Client absent (reporte)),2022-03-08,Echec livraison (Telephone injoignable),2022-03-09
123,#1251,2022-03-05,2022-03-05,Livre,2022-03-07,2022-03-07,,,H,,,Oued Zenati,Guelma,"Telestar Televiseur SMART 43"" FHD - ANDROID + SUPPORT MURAL Offert",45500,tv,Telestar,900,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
124,#1260,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-13,2022-03-09,,Juli,H,1237916577,,Dar El Beida,Alger,"Thomson Televiseur 50"" LED - 50TG6F FHD - Noir - Garantie 2 Ans",57000,tv,Thomson,750,oui,paye,0,ecommerce,Tentative echouee (Commune erronee),2022-03-06,Tentative echouee (Client absent (reporte)),2022-03-08,Echec livraison (Client ne repond pas),2022-03-09
125,#1248,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-12,2022-03-08,,Anthiathia,H,,,Mecheria,Naâma,"Thomson Televiseur 40"" LED - 40TG72 HD - Noir - Garantie 2 Ans",34900,tv,Thomson,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-06,Tentative echouee (Client ne repond pas),2022-03-07,Echec livraison (Client ne repond pas),2022-03-08
126,#1245,2022-03-05,2022-03-05,Livre,2022-03-08,2022-03-08,,Howie,H,7692411574,,Azeffoun,Tizi Ouzou,"Telestar LED TV 32"" HD DVB-T2 DOLBY + Support Mural - Noir - Garantie 2 Ans",23300,tv,Telestar,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Livre,2022-03-08,,
127,#1243,2022-03-05,2022-03-05,Livre,2022-03-09,2022-03-09,,Earlie,H,,,Berriane,Ghardaia,LG TV UHD 65 pouce UM7450 Series TV LED Smart IPS 4K Ecran 4K HDR avec ThinQ AI,189900,tv,LG,1050,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-08,Livre,2022-03-09,,
128,#1241,2022-03-05,2022-03-05,Livre,2022-03-09,2022-03-09,,Lesley,H,8704469886,,Setif,Setif,LG TV NanoCell 65 pouce SM8200 Series TV LED Smart NanoCell Ecran 4K HDR avec ThinQ AI,209900,tv,LG,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Tentative echouee (Client ne repond pas),2022-03-08,Livre,2022-03-09
129,#1244,2022-03-05,2022-03-05,Livre,2022-03-07,2022-03-07,,Harli,H,6306092218,,Bejaia,Bejaia,"Brandt Televiseur Smart - Led 65"" Uhd - Baf65U9Sa - Noir",137200,tv,Brandt,900,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
130,#1240,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-16,2022-03-10,,,H,1082738796,,El Abiodh Sidi Cheikh,El Bayadh,"Telestar Led Tv 43"" Fhd + Demo Integre+ Support Mural - Noir - Garantie 2 Ans",39900,tv,Telestar,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Tentative echouee (Client absent (reporte)),2022-03-08,Echec livraison (Client absent (reporte)),2022-03-09
131,#1239,2022-03-05,2022-03-05,Livre,2022-03-09,2022-03-09,,Ronda,H,6001754317,,Adrar,Adrar,"Brandt Televiseur Led 50"" Full Hd - Baf50F9T - Noir.",56900,tv,Brandt,1400,oui,paye,0,ecommerce,Livre,2022-03-09,,,,
132,#1238,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-13,2022-03-09,,Gillie,H,,,Djelfa,Djelfa,"Telestar LED TV 65"" UHD 4K DVB-T2 DOLBY Smart Andoid + Support Mural - Noir - Garantie 2 Ans",111900,tv,Telestar,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Tentative echouee (Client absent (reporte)),2022-03-08,Echec livraison (Telephone injoignable),2022-03-09
133,#1236,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-13,2022-03-09,,Janetta,H,,,Bouira,Bouira,LG TV UHD 55 pouce UM7450 Series TV LED Smart IPS 4K Ecran 4K HDR avec ThinQ AI,119900,tv,LG,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Tentative echouee (Client absent (reporte)),2022-03-08,Echec livraison (Client ne repond pas),2022-03-09
134,#1234,2022-03-05,2022-03-05,Livre,2022-03-07,2022-03-07,,,H,,,Blida,Blida,"Brandt Televiseur Smart - Led 65"" Uhd - Baf65U9Sn - Silver",137200,tv,Brandt,900,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
135,cmnd/Z,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-15,2022-03-09,,Queenie,H,3767276045,,El Milia,Jijel,"Telestar LED TV 50"" UHD 4K,DVB-T2/S2 DOLBY SMART ANDROID - Demo integre + Support Mural",62200,tv,Telestar,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Tentative echouee (Client ne repond pas),2022-03-08,Echec livraison (Client ne repond pas),2022-03-09
136,#1233,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-12,2022-03-08,,Heinrik,H,7223221079,,El Bayadh,El Bayadh,"Telestar Led Tv 55"" Uhd 4K,Dvb-T2/S2Dolby Smart Android Sounbar - Demo Integre - Framless Soundbar Metal",83500,tv,Telestar,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-06,Tentative echouee (Client ne repond pas),2022-03-07,Echec livraison (Client ne repond pas),2022-03-08
137,cmnd/Z,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-13,2022-03-07,,Hailee,H,,,Zeribet El Oued,Biskra,"Brandt Televiseur Smart - Led 43"" Full Hd - Baf43F9Sa - Silver",57950,tv,Brandt,1050,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-07,,,,
138,cmnd/Z,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-13,2022-03-08,,Moreen,H,5648710641,centre ville,Khenchela,Khenchela,"Brandt Televiseur Led 43"" Full Hd - Baf43F9Tk - Noir.",45700,tv,Brandt,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-08,,,,
139,cmnd/Z,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-13,2022-03-07,,Simona,H,5432572270,,Ain Sefra,Naâma,"Telestar LED TV 40"" FHD DVB-T2 DOLBY + Support Mural - Noir - Garantie 2 Ans",33300,tv,Telestar,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-06,Echec livraison (Annule par le client),2022-03-07,,
140,cmnd/Z,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-14,2022-03-10,,Rollie,H,4266731797,centre ville,Tizi Ouzou,Tizi Ouzou,"Brandt Televiseur LED 32"" HD - BAF32H9T - Noir.",26800,tv,Brandt,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-07,Tentative echouee (Client absent (reporte)),2022-03-08,Echec livraison (Client absent (reporte)),2022-03-09
141,cmnd/Z,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-14,2022-03-10,,Trixy,H,3173013730,medea  daira  souagui  commune sidi zahar ,Sidi Zahar,Medea,"Telestar LED TV 55"" UHD 4K DVB-T2 DOLBY Smart Android + Support Mural - Noir",75900,tv,Telestar,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-07,Tentative echouee (Client ne repond pas),2022-03-09,Echec livraison (Client ne repond pas),2022-03-10
142,cmnd/Z,2022-03-05,2022-03-05,Livre,2022-03-10,2022-03-10,,Astra,H,6354029827,,Setif,Setif,"Samsung Televiseur LED 49"" Smart Full HD - UA49N5300 - Noir - Garantie 2 Ans",79490,tv,Samsung,900,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-07,Tentative echouee (Telephone injoignable),2022-03-08,Echec livraison (Telephone injoignable),2022-03-09
143,'1167,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-21,2022-03-12,,Ruby,H,5744108370,,Adrar,Adrar,"Brandt Televiseur Smart - Led 43"" Full Hd - Baf43F9Sn - Noir.",57950,tv,Brandt,1400,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-09,Tentative echouee (Client absent (reporte)),2022-03-10,Echec livraison (Client absent (reporte)),2022-03-12
144,'1168,2022-03-05,2022-03-05,Livre,2022-03-07,2022-03-07,,Renate,H,,,El Idrissia,Djelfa,"Samsung Televiseur Led 43"" Smart Full Hd - Ua49N5300 - Noir - Garantie 2 Ans",56490,tv,Samsung,1050,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
145,'1170,2022-03-05,2022-03-05,Retourne au vendeur,2022-03-13,2022-03-09,,,H,1591082755,,Blida,Blida,"Pack Smart Tv 50"" Led Ultra Slim - FHDLED50DZ03S Full HD Avec TNT - Noir - Garantie 2 Ans + Home Theatre Maxipower HSP5.1-MV8212L",65900,tv,Pack,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-07,Tentative echouee (Commune erronee),2022-03-08,Echec livraison (Client ne repond pas),2022-03-09
146,'1171,2022-03-05,2022-03-05,Livre,2022-03-13,2022-03-13,,Sue,H,9555714311,,Tamanrasset,Tamanrasset,"Telestar LED TV 55"" UHD 4K DVB-T2/S2 DOLBY SMART Android Sounbar - Demo integre + Support Mural",82500,tv,Telestar,1600,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-12,Livre,2022-03-13,,
147,cmnd/Z,2022-03-05,2022-03-05,Livre,2022-03-07,2022-03-07,,Clayborne,F,5864116333,centre ville,Oran,Oran,"Brandt Televiseur Smart - LED 32"" Full HD - BAF32H9EN - Gris/Blanc.",30100,tv,Brandt,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-06,Livre,2022-03-07,,
